title,category,source,importance,credibility,label
Microsoft's Voice Clone Becomes Scary & Unsalvageable,unknown,dark reading,0.8,0.6,0
Pound Sterling Price News and Forecast: GBP flattens against US Dollar,unknown,fxstreet,0.4,0.8,0
"Brazil Industrial Output (YoY) came in at -0.7%, above forecasts (-0.8%) in August",unknown,fxstreet,0.5,0.85,0
JPY holds defensive ahead of LDP vote – BNY,unknown,fxstreet,0.5,0.75,0
Rocket Report: Alpha explodes on test stand; Europe wants a mini Starship,unknown,ars technica,0.5,0.6,0
BNB Hits All-Time High as Network Upgrades and Short Squeeze Fuel Rally,crypto,decrypt eth,0.8,0.65,0
"Djokovic advances, Shelton loses in Shanghai",sports,espn tennis,0.5,0.9,0
"Eric Karabell's 'Do not draft' list, including Ball, Morant, Embiid",sports,nba,0.4,0.9,0
Meet the Caerphilly by-election candidates,world,bbc politics,0.4,0.8,0
Etsy witches can apparently turn you into a crypto millionaire for $73,crypto,cointelegraph btc,0.3,0.2,0
"Donald Trump Jr. Calls Media Treatment a 'Disaster', Likens Deplatforming to Crypto Debanking",crypto,decrypt eth,0.4,0.85,0
Trump admin defiles even the “out of office” email auto-reply,unknown,ars technica,0.4,0.4,0
"RFK Jr. drags feet on COVID-19 vaccine recommendations, delaying shots for kids",unknown,ars technica,0.6,0.65,0
ETH surge to $4.5K proves the bottom is in: Data predicts a 100% rally next,crypto,cointelegraph eth,0.6,0.65,0
"Melania Trump Meme Coin Jumps After First Lady Promotes It, Still Down 99% From Peak",crypto,decrypt eth,0.2,0.7,0
This early Prime Day deal has MSI's gorgeous 34-inch curved ultrawide QD-OLED gaming monitor dropping to $649 at Amazon,unknown,tom's hardware,0.4,0.85,0
NFTStrategy Ecosystem Surpasses $200 Million Market Cap,crypto,the defiant,0.6,0.6,0
Grab an Acer Nitro 60 desktop with a Ryzen 9 CPU and RTX 5070 Ti or 5080 graphics cards for 30 to 50% off,unknown,tom's hardware,0.5,0.7,0
Ex-Tory defence minister joins Reform UK,world,bbc politics,0.4,0.8,0
Justin Sun's Hyperliquid Clone on Tron to Feature Private 'Dark Pools',crypto,decrypt eth,0.4,0.4,0
Badenoch mistakenly says NI voted in favour of Brexit,world,bbc politics,0.4,0.9,0
"Celebrating the partners driving Disrupt’s big ideas, connections, and community",unknown,techcrunch startups,0.3,0.9,0
"BTC ALMOST $120K, CRYPTO IS GREEN, PNKSTR JUMPS 50% TO $140M",crypto,decrypt eth,0.8,0.3,0
"Ingenious modder turns Lego Game Boy into an actual Game Boy that can run real cartridges — new Lego set gets outfitted with custom PCB in less than a day, 3D printing required for future button support",unknown,tom's hardware,0.5,0.9,0
Rose Lavelle leads EA FC 26 Team of the Week 3,sports,espn esports,0.3,0.9,0
"U.S. Commerce Sec. Lutnick says American AI dominates DeepSeek, thanks Trump for AI Action Plan — OpenAI and Anthropic beat Chinese models across 19 different benchmarks",unknown,tom's hardware,0.8,0.6,0
AI-generated security camera feed shows Sam Altman getting busted stealing GPUs from Target — ironic video shows OpenAI CEO saying he needs it for Sora inferencing,unknown,tom's hardware,0.3,0.05,0
"After Tokyo run, Brooksby wins Shanghai opener",sports,espn tennis,0.4,0.9,0
Political Thinking with Nick Robinson,world,bbc politics,0.3,0.8,0
Roundtables: Trump’s Impact on the Next Generation of Innovators,unknown,mit technology review ai,0.5,0.75,0
"CRYPTO HIGHER, US GOVERNMENT SHUTS DOWN, PUMP LEADS REBOUND",crypto,decrypt eth,0.8,0.6,0
"OpenAI's Stargate project to consume up to 40% of global DRAM output — inks deal with Samsung and SK hynix to the tune of up to 900,000 wafers per month",unknown,tom's hardware,0.8,0.2,0
Agencies issue reminder to institutions on lending when the National Flood Insurance Program is unavailable,unknown,federal reserve,0.4,0.9,0
Labour deputy debate exposes differences in approach,world,bbc politics,0.5,0.8,0
"Drake London, Jordan Love join Madden NFL 26 TOTW 4",sports,espn esports,0.3,0.9,0
"Forza Horizon 6 announced for PC, Xbox and PS5",sports,espn esports,0.8,0.2,0
How to use ChatGPT to find hidden gems in the crypto market,crypto,cointelegraph nft,0.5,0.7,0
'I do record everything': The told and untold stories of Merab Dvalishvili,sports,espn mma,0.5,0.75,0
"Monfils, 39, says he'll retire after 2026 season",sports,espn tennis,0.5,0.9,0
Goffin regroups to advance at Shanghai Masters,sports,espn tennis,0.4,0.9,0
The Middle East That Israel Has Made,world,foreign affairs,0.6,0.65,0
"Federal Reserve Board modifies Morgan Stanley's stress capital buffer requirement, after the firm requested reconsideration",unknown,federal reserve,0.5,0.9,0
"Trump trusts Blair, others don't - could he govern Gaza?",world,bbc politics,0.5,0.7,0
Five takeaways from Starmer's conference speech,world,bbc politics,0.5,0.7,0
Designing CPUs for next-generation supercomputing,unknown,mit technology review ai,0.6,0.3,0
The Chance to Save Myanmar,world,foreign affairs,0.6,0.6,0
Ghost of Yotei review -- a hauntingly beautiful revenge tale,sports,espn esports,0.4,0.7,0
"Mutant Football League 2 release date revealed for PC, PS5 and Xbox",sports,espn esports,0.3,0.75,0
"Badosa out for season, vows to return 'stronger'",sports,espn tennis,0.5,0.7,0
How one trader turned $125K into $43M on Ether — and what you can learn from it,crypto,cointelegraph eth,0.6,0.6,0
The Fatal Flaw in the Transatlantic Alliance,world,foreign affairs,0.6,0.6,0
Converting inbound leads into customers at OpenAI,unknown,openai blog,0.5,0.7,0
What happened to plans for a Muslim war memorial?,world,bbc politics,0.5,0.75,0
The Irony of Trump’s Spat With Brazil,world,foreign affairs,0.4,0.5,0
Alcaraz eases into Japan semis over Nakashima,sports,espn tennis,0.4,0.9,0
Gauff needs 3 sets to reach 3rd round in Beijing,sports,espn tennis,0.5,0.9,0
Musetti sorry for chiding coughing Chinese fans,sports,espn tennis,0.3,0.9,0
Hester Peirce discusses her future NFT plans after serving at SEC,crypto,cointelegraph nft,0.5,0.85,0
"Derrick Henry falls, Penei Sewell rises in latest Madden NFL 26 ratings",sports,espn esports,0.3,0.9,0
Vesting NFTs top daily sales volume chart: CryptoSlam,crypto,cointelegraph nft,0.5,0.75,0
Chris Mason: Starmer's irritation with Burnham shows as he seeks to tackle critics,world,bbc politics,0.5,0.7,0
Federal Reserve Board issues enforcement action with former employee of Dacotah Bank,unknown,federal reserve,0.4,0.8,0
Crypto Market Drops as Upbeat US Economic Data Dashes Rate Cut Hopes,crypto,the defiant,0.8,0.2,0
Tether Names Benjamin Habbel as Chief Business Officer,crypto,btc times,0.4,0.8,0
Crypto Market Stays Cautious as Powell Warns Tariffs Could Fuel Inflation,crypto,the defiant,0.6,0.65,0
"Caleb Williams, Isaiah Rodgers join Madden NFL 26 Team of the Week 3",sports,espn esports,0.4,0.9,0
India Doesn’t Want to Need China,world,foreign affairs,0.6,0.65,0
MMA divisional rankings: Tatiana Suarez back on track in wide-open strawweight top 10,sports,espn mma,0.4,0.8,0
HEMI Rallies More than 200% Ahead of Binance Listing,crypto,the defiant,0.8,0.6,0
USDe Deposits on Binance Hit $734 Million as Ethena TVL Tops $16 Billion,crypto,the defiant,0.6,0.6,0
Crypto Markets Recover Slightly as Signs Point to Late Cycle Phase,crypto,the defiant,0.6,0.3,0
Brazil’s call for COP trade forum gets lukewarm response,world,climate home,0.5,0.75,0
"Madden NFL 26 Title Update 4 adds more player likenesses, gameplay changes",sports,espn esports,0.4,0.85,0
Shaquille O'Neal leads NBA 2K26 Old School program,sports,espn esports,0.5,0.7,0
The Only Security Guarantee Ukraine Can Trust,world,foreign affairs,0.8,0.5,0
Crypto Treasury Activity Surges as DATCOs Expand Holdings,crypto,the defiant,0.6,0.6,0
"Crypto Markets Slide as Sentiment Echoes 2019, Analysts Say",crypto,the defiant,0.6,0.2,0
H100 Group Appoints Johannes Wiik as Chief Executive Officer,crypto,btc times,0.4,0.75,0
Stellar’s Flagship Meridian Conference Focused on RWAs and Emerging Markets,crypto,the defiant,0.5,0.9,0
"Hypurr NFT Floor Hits $100,000",crypto,the defiant,0.6,0.65,0
"Federal Reserve Board publishes agenda for its community bank conference, which will take place on Thursday, October 9",unknown,federal reserve,0.3,0.9,0
NHL 26 review roundup: Be A Pro mode the lone bright spot,sports,espn esports,0.5,0.75,0
"Roquan Smith soars, Travis Kelce slips in Madden NFL 26 Week 2 ratings update",sports,espn esports,0.3,0.8,0
Humanitarian Protection at a Crossroads: What Future for the Strained Refugee System?,world,migration policy,0.6,0.6,0
Aster Token Soars as Perpetual DEX Mania Rages On,crypto,the defiant,0.6,0.65,0
"BTC & SOLANA JUMP UP, BNB CROSSES $1,000, HYPE HITS ATH",crypto,decrypt eth,0.8,0.15,0
Federal Reserve Board issues enforcement actions with former employee of First Horizon Bank and former employee of Manufacturers and Traders Trust Company,unknown,federal reserve,0.4,0.9,0
Rematch devs address plans for unintended mechanics,sports,espn esports,0.5,0.75,0
"F1 25 starts Season 3 with F2 content, driver ratings update",sports,espn esports,0.4,0.8,0
Crypto Markets Slump After Fed Cuts Rates by 0.25%,crypto,the defiant,0.6,0.2,0
"Tucker Kraft, Brian Branch lead Team of the Week 2 in Madden NFL 26",sports,espn esports,0.3,0.9,0
"College Football 26 update has gameplay adjustments, new equipment",sports,espn esports,0.4,0.9,0
Way-Too-Early Grand Slam predictions for 2026,sports,espn tennis,0.3,0.7,0
The blossoming relationship between Trump and Swinney,world,bbc politics,0.4,0.6,0
Symbiotic Partners with Chainlink and Lombard for Cross-Chain LBTC Transfers,crypto,the defiant,0.6,0.65,0
Rally Arcade Classics gets manual transmission option in latest update,sports,espn esports,0.4,0.8,0
Classic Codemasters racing games will lose online services next year,sports,espn esports,0.5,0.9,0
Bulletproof Host Stark Industries Evades EU Sanctions,unknown,krebs on security,0.8,0.3,0
"Latest Rematch update adds crossplay, reporting feature",sports,espn esports,0.4,0.75,0
Hall of Fame inductee Carmelo Anthony's NBA 2K ratings through the years,sports,espn esports,0.4,0.9,0
Chainlink Co-Founder Teases Future Collabs with Trump Admin,crypto,decrypt eth,0.6,0.6,0
Agencies announce third public outreach meeting as part of their review of regulations,unknown,federal reserve,0.4,0.9,0
"SOL GOES HIGHER, HIGHER RATE CUTS MORE LIKELY, $HYPE ATH",crypto,decrypt eth,0.8,0.6,0
Federal Reserve Board announces termination of enforcement action with Sumitomo Mitsui Banking Corporation and Sumitomo Mitsui Banking Corporation New York Branch,unknown,federal reserve,0.4,0.9,0
"BTC HOLDS SUPPORT, MAJORS ALL UP, PUMP +40% IN A WEEK",crypto,decrypt eth,0.8,0.6,0
Breaking: Scientists discover cure for all diseases,world,fake-news-site.com,0.2,0.1,0
